3/29/2023 13:10,0.88,71.24
3/29/2023 13:11,1.05,71.28
3/29/2023 13:12,1.3,71.31
3/29/2023 13:13,1.3,71.31
3/29/2023 13:14,1.66,71.31
3/29/2023 13:15,2.39,71.35
3/29/2023 13:16,3.24,71.35
3/29/2023 13:17,4.75,71.82
3/29/2023 13:18,4.16,72.03
3/29/2023 13:19,4.49,72.14
3/29/2023 13:20,5.37,72.14
3/29/2023 13:22,6.01,72.28
3/29/2023 13:23,6.4,72.5
3/29/2023 13:24,6.38,72.68
3/29/2023 13:25,7.03,72.79
3/29/2023 13:26,6.95,72.93
3/29/2023 13:27,7.4,73.04
3/29/2023 13:28,7.72,73.15
3/29/2023 13:29,8.45,73.22
