Plot Title: Roving_DO,,,,,,,,
#,"Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 21446162, SEN S/N: 21446162)","Temp, °F (LGR S/N: 21446162, SEN S/N: 21446162)",Coupler Detached (LGR S/N: 21446162),Coupler Attached (LGR S/N: 21446162),Host Connected (LGR S/N: 21446162),Stopped (LGR S/N: 21446162),End Of File (LGR S/N: 21446162)
1,4/19/2023 11:32,8.33,73.36,,,,,
2,4/19/2023 11:32,,,Logged,,,,
3,4/19/2023 11:33,2.14,73,,,,,
4,4/19/2023 11:34,1.76,73.18,,,,,
5,4/19/2023 11:35,1.71,73.26,,1.704,,,
6,4/19/2023 11:36,1.69,73.29,,,,,
7,4/19/2023 11:37,1.69,73.33,,,,,
8,4/19/2023 11:38,1.67,73.33,,,,,
9,4/19/2023 11:39,,,,Logged,,,
10,4/19/2023 11:39,,,,,Logged,,
11,4/19/2023 11:39,8.24,73.29,,,,,
12,4/19/2023 11:39,,,,,,Logged,Logged
